sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
ABCA1	23.1628072315705	23.5048571278256	23.4779848739159	23.6984652836206	23.3352055517598	23.5982610161506	22.9923815920363	23.0252012131003	22.9788460608919	22.9774864532763	22.6475177822792	23.1056566202531	21.9236500587453	23.4536345114452	22.632296327902	22.8927210920539	22.1166132130688	22.3708046230961	22.6509057745523	23.2577063972242
ABCA12	19.5092193235932	19.4926771718247	19.9075268106552	19.3286549117891	23.1800804903755	19.3313487886564	19.6751859382682	20.1309979613732	19.9164867060976	19.8814438113402	20.270575242603	20.7477638263663	20.0174792019734	20.2211048282534	20.0000822428422	20.0468642158163	20.4773058454119	19.5491859306596	19.8957808311676	20.1074130545467
ABCA2	19.0753470018316	19.6665757404291	19.9320864613912	18.5784014084506	19.2836627009498	19.5523690705075	18.706559219837	19.1714859110288	20.4205365009266	19.1384719732606	19.4326138875783	18.9443209146299	19.020733162768	19.7653511213039	18.6188805612503	19.6049028771504	19.1093273929151	18.394588327902	19.8425443846984	19.2190307491787
ABCA3	21.7256848177864	21.4565631630056	23.4419343425948	19.7609344786588	21.1449807457027	20.8616145692808	20.9207464554203	21.3173116761421	20.2414308831008	20.9565411413206	20.9855056951508	21.4312079890319	21.4602925511109	21.5159571458269	21.656002126728	21.0204337510361	21.3532510081405	22.1507050473315	21.6240900085856	21.7836376771286
ABCA8	19.8187546786409	19.6325552413061	19.8743724596365	19.7849787355783	19.8851068690431	19.485190893642	19.7392092002659	19.7038943006486	19.9432351436889	18.5828575605692	19.8961535853649	19.8757068803519	19.9206497771224	19.0866340848654	18.9706829085117	19.9316335686595	19.4028129237479	21.2601803402683	19.3013275134826	19.3080366704278
ABCB10	21.0369606814886	22.0923283480965	22.4519716576191	22.1124873832118	21.5980900051416	21.9122316430112	21.046932047115	22.8683295905084	21.6760634606262	21.704181119541	23.4342536807669	21.4008013986907	21.5950728470823	21.927196125227	22.794340453948	21.9321758519843	22.0068868726146	21.8292825017724	21.6961275192326	21.4866565243803
ABCB6	21.9303844008921	22.9504783799124	22.3576033512349	22.3973040380877	21.7612901678378	22.1310285650929	21.3061648243579	22.2251466903193	22.9447521114752	21.535086464712	21.2771298145798	21.8892193729669	21.9119083019232	22.7241269880502	21.898567425617	21.7992393066726	23.0097061895535	22.338324459275	22.5223094114628	21.9847582066874
ABCB7	22.3784640279716	22.6250453538931	22.628653097106	22.6076769039762	22.5417548314392	22.0894181120334	21.7026362175265	22.2939114284625	22.3225620486447	21.7141553933867	22.9736479812349	22.4725237027261	22.2685929247868	22.7993527370764	22.6223460466517	22.2888251570738	23.1509134545865	22.9980974316198	22.3910411356456	22.5671347280478
ABCB8	25.2835247611271	24.8360054319063	24.7481979542635	24.5843585520573	24.2642857997622	24.6578123154992	23.7850241339289	25.3051515291645	24.5032692822738	24.6956401886671	24.5583818887275	24.8618717071135	24.2594836321787	25.324625516914	24.6983700486563	24.6977759339431	23.953200114344	24.1810620437105	24.8785361938581	23.9339055600945
ABCC1	24.1501401317808	23.5702282121344	23.6153260482453	23.5817798568707	24.0725547522491	23.3045677217402	23.0044182287511	23.8897274716177	23.9861996535353	23.3225233264482	24.0255555429512	23.9002846070333	23.4960754794728	24.3361606149991	23.8274809629689	23.7063775385267	24.6011796034685	24.2239714128206	23.6959479638025	24.2781628011136
ABCC10	18.8171102956562	18.5538006940642	18.891882575269	18.5317613764863	18.9583050914159	18.7200969007245	18.8699074215528	18.9465084735182	19.0218588327192	19.0159901400174	18.4700723791099	18.8237890692303	18.757455364529	18.3697644367819	19.4517469197603	19.2720855350929	18.9736464862695	18.6754887328924	18.4835098037676	18.9249513290235
ABCC11	22.6313478857065	20.4825059681184	20.93355816428	20.4558265729131	21.1794051487572	20.9684930705557	20.5893789697491	21.4608619925959	20.7731743443742	21.2639026026026	22.1065613393091	21.8479484072357	21.2161024413029	20.4809920571011	20.920282545397	20.7151894946904	22.3686452371244	20.4248399999305	20.6378796595182	19.8723794361643
ABCC3	19.3252281588998	19.4468844710447	19.721778065906	18.9896630387353	19.5784142239503	19.6878942122586	19.2246677070118	20.3521622260415	19.8199746723351	19.0452630303377	18.9309342928989	20.3847031436023	18.8528871443607	18.912243667996	19.853602313372	18.706622866292	19.6309613156899	19.1209709193593	19.1746746122287	18.9107505253098
ABCC4	22.0138813592667	21.7072881406311	22.3973191523709	22.1447028264155	21.7883294791282	22.5313050810106	21.807322531121	22.0506062500968	22.6770025922237	22.9397290440223	22.0860849587912	24.5727788710408	22.1374389924452	21.9862114886376	22.3675025363161	22.3279332827152	20.9978550026295	21.5664215305096	21.4070185454992	22.4102660343747
ABCC5	19.2862749215687	20.2893822607135	19.7688050517664	19.6445984266737	20.0148604122218	19.7926335808504	19.4973885393567	20.1439134963774	19.8703659617925	22.3781961566767	20.6519001794852	20.279088315911	20.0902530025011	19.5369284994892	19.4452816294522	21.1123477610439	19.4982807724699	20.1151502493649	20.2671019779423	20.0658653661353
ABCD1	23.0304667255297	23.0128000696661	22.9081309728499	24.1386143517786	23.0574581105179	23.1627073352702	22.1777995140116	24.1462796124449	22.8533702194383	21.913088019915	23.0940069600947	22.7334108983872	21.7281633076465	21.9396953280461	22.8415225480136	22.2367009233051	23.3336194893526	23.0201894715264	22.5025782995621	23.4381931597818
ABCD3	25.7803303519503	26.1245552470944	26.3273929811912	25.1465568668794	25.5959520032442	25.1846180944138	24.3474877949675	26.3783295198631	24.204965913874	24.6468790015967	27.2890892770068	24.4070050744304	25.2225332927667	25.4588103073888	24.5843413268205	25.4622402650106	26.6176647961686	24.837445920492	24.9779793506919	24.6099480746474
ABCD4	17.7331577059793	17.5999085884332	17.7073412285482	17.7456089881406	17.4444324925661	17.527873549824	17.3705278625534	17.6148941703733	17.4938990841069	17.5600948531476	17.7021495767678	17.5188338058833	17.3095800076136	17.2907664543819	17.366972728843	17.4264847408011	17.7278539502229	17.4733885846257	16.9369203888446	17.7336445972365
ABCE1	26.33630889982	26.421209184264	26.3870795816901	26.5716675481212	26.3574418317415	26.7664776105894	26.3254631310426	26.1527784018653	26.2642553214635	26.2595959282376	26.6362835823043	26.672608031463	26.4164306551446	26.2202320913091	26.8571069867422	26.2908540886268	26.1600480842765	27.1605222839161	25.8246591101104	26.9955861865337
ABCF1	26.0411976625223	26.0524524569483	25.9941097856609	26.6370050284444	25.9136045716116	26.1068942978364	26.0599180701424	25.9823059161238	26.0319559475549	25.9780066703991	26.2062681665066	26.5475579411361	26.3866238231712	26.0097944948688	26.2276155800717	25.9382174852326	25.6091967007419	26.081908284357	25.8073490863356	26.7418350416573
ABCF3	25.2675771374096	25.4209957321731	25.0619050118348	24.9262293768394	25.1275788011047	25.0991492643589	25.2589442918673	25.2870075545329	25.6427930001108	25.1606769255733	25.4267479712118	25.4424703783858	25.2364161227649	25.4207542843449	25.1648768877414	25.3902811572559	25.4328463269078	24.8965244458665	25.3091734972432	25.4246015690378
ABCG1	21.0313212726801	20.8710409149591	20.874122563572	20.6404069496051	20.7791401491137	20.2516733339557	20.0394609030108	20.8968199159171	20.0284256435743	19.7567951764978	20.1340980356474	19.2879694474874	19.3627316738306	19.2618556153629	19.8852910223756	20.1006425127634	20.2377530913415	19.3433881699266	20.6922826832566	18.788908533235
ABHD10	26.24001040662	26.3294513661471	25.9424947902076	26.121151645956	26.0005604954193	26.6831559876008	26.2586440965146	26.273490066411	26.3061823742435	26.4462073773696	25.9131124815897	26.7008215098244	26.2664914626416	27.2879150272807	26.3860891642882	26.1263249991457	26.7810557222366	26.4195715237052	25.211491345548	27.0445146937595
ABHD11	26.0898009335582	26.84069299865	26.0362296176076	25.9125596338008	26.2880568932478	26.6391923537816	26.094515475486	27.5222150666325	26.532200446506	27.8247398194228	26.4055004026317	26.5678600648999	26.7910871280938	26.6487983506092	28.0687764573065	27.0061722370775	26.2779862929633	26.3298278890222	26.4119836978046	26.7482140141987
ABHD12	24.2356432330458	24.4183630310151	23.9016098749948	24.1293477009119	23.6595087301165	23.6026651222701	23.505459446561	23.6249853102886	23.0779365767182	23.1820892184771	24.3392966794205	23.4552884739344	23.889692286916	24.3305541043431	23.2348413149696	24.3592827482319	24.7867377941236	23.4076977034531	24.0759733666388	22.975461843759
ABHD13	26.0219844674049	25.5500277475833	25.2042568439731	25.2313344750998	24.8557583661559	24.1170234422462	24.5563954112367	25.2169454731071	24.5615726937166	24.8944391151589	25.1669486156071	24.7252362544396	24.7237689200518	24.6798413781746	25.039497895328	24.9691623091366	24.8650297132071	25.2271455354957	24.5523596004672	24.9909112173815
ABHD14B	28.5800484732891	27.714857975427	27.2656260856718	27.4949180312104	28.1711222539187	28.8170646443147	28.2821804424647	27.7330228365032	27.8076160453609	29.0253803371935	27.7231639353696	28.3553020645877	28.1850048556429	29.2147990221792	27.728021892819	28.0463256309707	27.4928535526466	27.5283850035943	27.2645402362874	27.5884565917799
ABHD15	23.5179799693254	23.3704855094917	22.9346992498753	23.0027370007902	22.777188299482	23.2288037076933	23.4449825331996	22.8348397165987	22.724133542875	25.0605652422336	23.8781177672447	24.0428232648802	23.4671968233563	23.2190316090238	20.3713041524658	23.398313035635	23.3365816697182	20.8393845591025	22.516899603537	23.9334574537219
ABHD16A	24.4550464014336	24.1103786454753	23.8108011087029	23.8583201965454	23.4838889708988	23.3312628556001	23.2626349157453	24.016589015534	23.732145589184	23.5111218518411	24.4373156405229	23.7087012190069	23.7057028323815	24.1938246509636	23.4263459835055	24.0256508042064	24.8232634100424	24.1137623763833	23.5957667352099	23.8336086158622
ABHD17A	20.419844654327	20.4760209176532	20.8502547636803	20.2927923779011	20.6576344411778	20.688550757081	20.1530006237544	21.0212323623104	20.8118694849527	20.305639938663	20.893632707407	20.1788186467753	20.0217725679773	21.0116408320646	20.1708895418771	20.4408899768089	20.2390185619362	20.0025873197183	20.8587881602064	20.4950794930378
ABHD17B	20.3730095116064	20.4773305702062	20.5266851722737	20.3572102291996	20.3626255918048	21.6291486735295	19.9014763110904	20.4598162234861	20.8548665612505	20.2664681147752	20.2669770474365	20.2256526919192	20.0435489928259	20.4867505262604	20.5906998186852	20.3964150500412	19.9379344467675	20.6417960478672	20.1086997260379	21.0593010753534
ABHD17C	21.2440776786883	20.4295743535584	20.2758670811144	20.1608921989345	20.3191947887715	21.5778799302474	19.7941887379461	21.2074942376424	20.3817057769654	19.5828778405715	21.2535124101835	20.0393634128498	19.6366424378026	21.3874455881485	19.9827162456951	20.482625981277	21.7239420217779	20.1754525644014	20.0317258613408	20.8444891501889
ABHD3	19.792985666326	20.2302097224715	20.5720413330621	20.4034665402581	19.6707994224081	20.1966284926201	19.2039938872043	19.8198268494962	20.0304167534444	19.884382831715	20.6807443080572	20.3917681459543	20.3873389405473	19.9787538142297	20.2941565895217	20.722416194437	20.937281069364	20.2362349475237	19.4273597283844	20.440786026898
ABHD4	21.9730375544839	21.9033670017444	21.540429330748	21.2029061455687	21.7081348760375	22.1224849657853	21.5965963232339	21.8537576595928	21.9814767341642	22.1480955595283	22.7321604604188	22.2498563949831	22.3881191627002	21.654340165159	22.2091369346066	21.9968889398166	21.5937837437191	21.6001098302558	21.1762997892244	21.4858653865632
ABHD5	22.330323007	22.6885420740422	23.0734497735884	23.5425280524588	22.6696700156991	22.7846012901573	22.8140188475273	23.3211810957298	23.181363752946	24.799895805762	23.6719497315188	23.2245499725979	23.823190185406	24.1810194331477	24.1389415137038	23.314624780023	22.6901043643323	22.9533002076281	22.5341489134402	23.3393583852007
ABHD6	22.4101007709141	21.9241077829188	22.4277133166544	22.1721496226772	22.1490150630435	22.0665682001904	21.9031470533763	21.9158738595306	22.2252473728946	22.1498937787661	21.9241161870515	23.5224839362421	21.7148042314796	22.3116575513586	22.4086725480984	21.8605263555337	22.5734854533811	21.7705959461489	22.0663846836081	22.3535660277271
ABI1	25.823392740292	25.3545470298688	25.4654713954523	25.8749340811231	25.7091962426433	25.6264797539809	25.8780935062266	25.4774001815467	25.7085422034295	25.8648123155023	25.3828482637548	26.003147918183	25.6846920856758	25.416892046243	25.9835285548825	25.5538015613356	25.5824780901023	25.8637490517377	25.8964536505033	25.8347619946142
ABI2	23.3300845599992	22.8161066212707	22.7952121521078	22.7670995806418	22.7861753911081	22.8949676727957	23.3398869430401	22.9888794378887	22.8280266079134	22.9650535041184	22.6474504074857	22.5037119453844	22.7729818206932	23.2789348585226	22.8071697257088	23.001948119847	23.8426984456214	23.4218432461876	23.311521146139	22.1718306705189
ABI3	23.7911214320366	23.9318557501386	24.1615855294334	24.741232824781	24.0680757607022	24.0842206685001	24.2088789111489	23.6073194354773	24.3020175211431	24.0738420386476	23.2208388568477	24.2541586634935	23.7956149434452	23.6330276705981	23.9119090564306	23.7237199180137	23.0401373693346	24.0772990929958	23.7569719674251	24.2108562708107
ABI3BP	24.577601278171	26.021015402875	25.2686416467927	25.2882705288472	26.257016435375	25.4714147254912	26.2288816070702	25.1859974919475	24.9819459922683	27.7642757766623	24.0596382345909	25.2150662986968	26.420103405101	24.5716018028764	24.2363140016398	25.8548331496416	23.131093649106	24.9738349860392	24.9145296905774	23.9682593076023
ABITRAM	21.6422639675429	21.4004842423128	20.830455562684	22.0458044156713	21.8740216726119	21.3091069438248	21.8426816001049	21.1875491029022	21.8384930601617	21.7656159541517	21.5239327067482	23.0725272575002	21.5898589379321	21.5902290974785	21.8288818735717	22.0532414948219	21.6880171798438	22.1283341407457	22.5105780840288	22.696024903358
ABL1	22.6632608190479	22.7049321570664	22.8328138442238	22.4175199060552	22.6421567225514	22.7277273419553	22.6365174067385	22.447289938817	22.54504866986	22.2264664207253	22.9569437872524	22.0915075991318	22.8123456861229	22.5563884871066	22.4478604386565	22.7977848530262	22.1973644735372	21.9997329241456	23.0473825148385	22.3917369953781
ABL2	21.3286313096515	21.9978468406551	22.2271809457636	22.3310281479779	21.2762420638325	21.7721212639786	21.3284870337632	21.7594901678682	21.7067827178586	20.9332216556414	22.5211799039139	21.0582699964381	21.5281001979262	21.7949031204835	21.6914295313745	21.1950298073429	21.8162204962888	22.2551791419765	21.6243981963161	21.9240369752045
ABLIM1	26.2383164398367	24.9166803573959	25.3496870339661	25.6345228962759	25.7443165549513	25.9088890947387	25.6703951416144	25.2909739866342	25.6331934433972	26.8359613671286	25.1471759531069	25.1184670758868	25.0502605585141	24.6156507053326	25.5382668960896	25.8655744536573	24.8875312240775	25.8521573793301	25.3965172359267	24.3321038854308
ABLIM2	24.5691033386136	24.455081997482	24.7720465585308	26.5915122142413	25.1217919764841	24.8013545587728	25.8297688950774	26.5157518503226	24.930296134123	26.2811329336329	25.1899930175167	24.4742079513752	24.927960090852	24.0926295360353	25.21302468119	25.4230654702945	25.6543092318353	25.5526824235364	25.6662383100466	24.7641775753988
ABLIM3	24.0761295726417	22.2228471435616	22.5507387278866	22.2585514697297	22.5612675020651	22.4424884388773	23.1269497187829	23.8960957400889	22.7338324812138	23.8463503365399	23.6278159281437	23.5589799393225	23.0662379510245	25.189547630425	23.1260264031263	23.855824934825	24.5133666731852	22.7037407053787	23.3301302012329	21.981552012531
ABR	25.3832471223281	24.7883218240092	25.2723509402437	25.1449158542137	24.9955096795081	24.8176980815557	25.1672507214315	25.3300349432496	24.9417592397331	24.5398742757626	24.2795183194785	25.291864121098	24.5657426439838	25.1944002926449	24.4393664891452	24.8476279485307	24.9988402214046	24.6168097323242	24.5510545009005	24.4475854263965
ABRACL	27.6106255134347	27.7794768657297	27.6578855328773	29.0529001320633	27.8360416160315	28.1730402724936	28.7723931015316	27.6702420972971	27.4610946119473	28.9852412045869	28.6391484280516	29.298746339451	28.6417504883472	28.4435308841885	28.6633596140161	28.4096986488429	27.2959766099794	30.3216341007719	24.7296917622404	28.4637146825262
ABRAXAS1	22.6071062796652	22.6107807973681	22.3213278487739	22.6871112186695	22.9017081545694	22.204776756916	22.7670243833505	22.1406968172666	22.7943292711212	22.7938864119222	22.6919733456672	22.605153496103	23.175727785525	23.2089559760848	22.9669370208542	22.6481104015238	22.6266009604265	23.0963895853409	22.9983114889959	23.0913724883457
ABRAXAS2	24.8540598422983	24.4666004331612	24.7150710624243	24.7538102594716	24.6200753893953	24.6673188046998	25.012471497133	24.3399228304369	24.3114159573965	24.7470913352309	24.6036380891256	24.5542751227341	24.6340335748536	24.657465662924	24.3642226118268	24.6112572916352	24.6540641635677	24.6597448662273	24.8772011436562	24.2311781127294
ABT1	21.3846964670918	22.1588662868526	22.0755957994	22.5549632397156	21.3961132039555	22.2151658310463	20.9969047722942	21.1318411158021	22.428632488318	22.3813688799161	21.6723806191861	22.2577343117728	21.632471137427	21.5768068911174	22.2694555664527	21.7146437011093	21.7678257588435	22.6726662415737	21.6083223730791	22.8566269216012
ABTB1	20.4074836834296	19.4773508094506	18.341179863463	20.9639842349242	18.5272857987714	18.8888630935362	18.9611083355925	19.2786911990832	19.1562109808285	19.5304402352272	20.5610990957512	19.5195523755363	19.7874913718662	20.2213211026587	19.5924318161315	19.8305915101235	20.1541901615633	20.7093075696977	20.1864240794397	19.5039943069944
ABTB2	18.7006780750587	19.1224674132336	19.4068994767066	20.5872521867875	19.151257019913	19.2731784708665	18.8395562206621	19.0676477901399	19.4648131623043	19.3389030965793	19.1211717015771	19.6102909284789	19.0046951851329	18.8817406405477	19.8671094147285	19.0426786479615	18.5929474600293	20.4618713483308	18.3016735974943	16.9653455920239
AC093323.1	19.7455103318454	19.3953379375551	19.0737910744523	18.9484236908869	19.2347408265645	18.9902242269323	18.9716323616133	19.9586394419444	18.9637187761422	18.5177266914363	19.0148301302468	17.5636185228682	18.9249063128941	19.192755983561	18.7527656608172	19.1091513552527	19.0962418788054	18.4043358811878	19.0751456074378	19.6519808289074
AC118549.1	21.1797616715841	21.4842241036721	21.1135602313892	21.3199071350906	21.3595229999629	21.4343828857501	21.3043292151653	21.2248562403657	21.3766641074974	21.1844623161931	21.3961462317365	21.0775915367845	21.7766590302409	21.3412066491926	21.3051003157766	21.5058501488456	21.6912322972535	21.1771075897087	21.6518348131908	21.6256076948366
ACAA1	27.4951164002038	26.4936892493501	26.3062534880862	26.22655256347	26.9702939073734	26.7711846194309	26.9217283514397	27.2625741371	26.671814113862	27.0524360534562	27.0960664250788	27.4108638417653	27.0041441693517	27.2752217648404	26.888315442076	26.6357479273737	27.1621973208201	26.5884670317236	26.2473933424664	26.719352111956
ACAA2	27.001776980275	27.2408133521468	27.3129063542404	27.1817842238789	27.5977876817579	27.6876400131242	27.6099556989081	27.688356635623	27.9394317661871	28.3098308080924	27.2562254487218	27.7840568494052	27.4756295432479	27.1037414498091	27.7413064977965	27.2786471922804	27.2238192954866	29.3234983051513	27.3740451979933	27.2991700258226
ACACA	24.4018634609488	24.5624079098298	24.7325510511459	24.394980144685	24.703094853054	24.9247289169744	24.4896078025884	24.7990435631308	24.8556054547144	26.0608805608948	24.6880720992152	25.2366873627413	24.7364134741849	24.890815681173	24.67600282295	25.5369951802756	25.3188357651338	24.3773867626544	25.1917132105325	24.1306129729962
ACACB	21.5804076828715	21.5821298441243	22.113383739376	21.5919754662198	21.869419894167	21.8961769081382	21.5496910668594	22.6323163394714	22.0379031491195	23.6384062987508	21.5910917925743	21.4981185007407	21.4286100050518	21.6363860818314	22.0374092408352	22.2220608423591	21.4608672398239	21.8511130230462	21.2696975142711	21.3839963214061
ACAD10	22.9289405664611	23.2613715293825	22.989272623451	22.3770073590449	23.337837482748	23.2334685904832	22.6543109603185	22.335905717283	22.8136117535251	22.9384548556324	23.6945986829904	23.4624708208582	23.3797446097296	23.285051318431	24.0242942197358	22.8482858375506	22.7359092332474	23.4748810221099	23.6233065144242	22.8926884761314
ACAD11	20.576602268622	20.639249804008	20.6536045864904	20.7429006458552	20.3669938058417	20.4337011068388	19.999789846035	20.2119044076425	20.3861360390913	20.7169375294517	20.6334233008781	19.7646412734837	20.6065681296156	21.4552874801414	20.8563749056475	20.8886546883948	21.6781358861989	21.4879187447918	21.1647728086384	20.6786623307737
ACAD8	24.4810009335625	24.5051114707946	25.1382343436593	24.3643802108224	24.943829905486	25.6205261516188	24.910487925438	24.3851333980777	25.0013630978704	26.1649523072972	24.0743597247909	25.6198250788681	24.7079631928707	25.0565534136017	24.803266987725	24.4738613315232	24.3703765251668	25.0784342906487	24.6014571763455	24.879846570739
ACAD9	25.2402298128284	25.1346524782576	25.6475774067873	26.1273152318802	25.7470079579964	26.3144484388978	25.6480114248096	26.0507775871728	25.9741535296608	26.1491600790399	26.0375174011259	26.2838863889788	26.1299828801409	25.6671588212411	26.3399810622538	25.8613248643844	25.7320962179143	26.0324581354685	25.6982904671486	26.0643381431047
ACADL	22.1388955498656	21.7202954906816	22.252815116612	21.9392569723636	22.1605029418384	22.2802105078773	22.344095940237	22.5786443879355	22.4526325723976	25.5585154677467	21.5724907974028	22.2593973683187	21.3514981978496	21.601918900627	22.0962200316887	22.891896737878	21.6192245934735	22.9577205812848	22.4923544290048	20.1354290875119
ACADM	26.880502696083	26.7797287056714	26.4782956158159	26.4874831750195	27.1221625198897	25.9831859167175	27.2892916572279	26.6649151177849	26.7392691341636	28.3300607088082	26.9675188237573	27.526103325918	27.8390414469998	26.8917631409496	26.9699156880114	26.7699899046085	27.5953576506018	27.2391475810966	27.1878256445598	27.0380345178409
ACADS	25.1858367990204	25.6728893854964	25.4595126446275	25.0497849528099	25.2631106820997	25.4302933056534	26.0209860383167	26.182520297626	25.004844331467	27.1334996781715	25.3510821388665	25.3992510812534	25.2927653749875	26.0401890334614	25.8436263860714	25.6952519049194	25.6643127245031	25.478952501467	24.7502086218733	24.9843829883266
